"Comment";"FlowWords";"Flow";"cellComment";"DiscNumber";"Area";"Mean";"StdDev";"Mode";"Min";"Max";"X";"Y";"XM";"YM";"Perim.";"BX";"BY";"Width";"Height";"Major";"Minor";"Angle";"Circularity";"Feret";"IntDen";"Median";"Skew";"Kurt";"%Area";"RawIntDen";"Slice";"FeretX";"FeretY";"FeretAngle";"MinFeret";"Aspect.Ratio";"Roundness";"Solidity"
;;0;12;"E2_CD31.tif";"NA";36.84335;61.17237;0;0;255;2.99851;1.12348;2.88313;1.40615;6.74195;2.21333;0;1.68;2.48;2.60682;0.95794;60.30392;0.54223;2.66833;72.26044;3;1.87481;2.78223;53.55209;1625860;1;2.58667;2.44;66.12472;1.08441;2.72127;0.36748;0.81902
;;0;13;"E2_CD31.tif";"NA";35.24672;58.69889;0;0;255;5.14277;1.19841;5.20961;1.35894;6.4483;4.4;0.14667;1.61333;2.33333;2.47389;1.21973;63.83162;0.71623;2.61823;83.5316;9;2.31133;4.93984;74.27564;1879461;1;4.48;2.48;56.63363;1.33579;2.02823;0.49304;0.94001
20161020;;0;1;"C2_CD31.tif";"NA";255;0;255;255;255;3.79035;2.80511;3.79035;2.80511;4.44564;3.28;2.02667;1.12;1.63333;1.59176;0.94324;59.1825;0.74977;1.83062;300.696;255;"NaN";"NaN";0;6765660;1;3.28;3.66;63.155;1.03563;1.68755;0.59258;0.99449
;;0;1;"B_CD31_40X.tif";"NA";255;0;255;255;255;3.25535;2.07379;3.25535;2.07379;7.11608;1.86667;1.29333;2.90667;1.54;2.69855;1.30609;12.21158;0.68695;2.99775;705.88533;255;"NaN";"NaN";0;15882420;1;1.86667;2.37333;14.15986;1.51274;2.06612;0.484;0.92554
;;0;2;"B_CD31_40X.tif";"NA";255;0;255;255;255;5.75673;2.55874;5.75673;2.55874;8.97779;3.84667;1.46;3.48;2.16;3.2089;1.67735;158.91284;0.65909;3.60894;1077.98133;255;"NaN";"NaN";0;24254580;1;3.85333;2.59333;164.2436;1.88904;1.91308;0.52272;0.93926
;;0;3;"B_CD31_40X.tif";"NA";255;0;255;255;255;3.92397;5.14176;3.92397;5.14176;7.3366;2.69333;4.14667;2.51333;1.88667;2.26768;1.62926;162.69836;0.67746;2.66224;739.95333;255;"NaN";"NaN";0;16648950;1;2.77333;4.53333;156.06665;1.80273;1.39185;0.71847;0.87315
;;0;4;"B_CD31_40X.tif";"NA";255;0;255;255;255;2.75505;3.64971;2.75505;3.64971;6.60405;1.67333;2.66;2.22;1.86667;2.27346;1.46695;140.11665;0.75471;2.34395;667.93;255;"NaN";"NaN";0;15028425;1;1.99333;2.72;133.27128;1.46607;1.54979;0.64525;0.92736
;;0;5;"B_CD31_40X.tif";"NA";255;0;255;255;255;1.48327;4.46347;1.48327;4.46347;8.80972;0.28667;2.82;2.60667;2.8;3.20976;1.66986;136.45582;0.68159;3.6495;1073.448;255;"NaN";"NaN";0;24152580;1;0.29333;2.82;130.70347;1.83996;1.92218;0.52024;0.92623
;;0;2;"C2_CD31.tif";"NA";37.18723;33.78184;26;21;255;4.84126;2.70464;4.78671;2.69572;7.76545;3.81333;1.26;1.84667;2.92667;2.32787;0.96349;71.2791;0.36709;2.96364;65.50738;28;5.70587;33.71112;0;1473916;1;4.78667;4.18667;80.94027;1.2281;2.41608;0.41389;0.66852
;;0;3;"C2_CD31.tif";"NA";29.93781;17.00194;26;21;255;6.06677;2.67727;6.07218;2.68656;7.54016;5.08;1.44;1.84;2.52;2.47024;1.7816;81.8836;0.76399;2.65213;103.48102;26;10.983;140.60689;0;2328323;1;5.1;3.62667;47.64881;1.72522;1.38653;0.72123;0.93625
;;0;4;"C2_CD31.tif";"NA";255;0;255;255;255;5.54377;4.46788;5.54377;4.46788;5.50047;4.8;3.58;1.52;1.97333;1.78296;1.34911;104.75815;0.78467;2.13692;481.746;255;"NaN";"NaN";0;10839285;1;5.07333;3.58;112.56487;1.41325;1.32158;0.75667;1.00013
;;0;5;"C2_CD31.tif";"NA";28.20549;17.52459;24;19;255;7.25432;4.84975;7.21444;4.83328;8.39193;5.89333;3.52667;2.72;2.5;2.68127;2.19609;145.26597;0.82521;2.92582;130.44098;25;11.09192;138.83695;0;2934922;1;6.80667;3.52667;121.2996;2.17025;1.22093;0.81905;1.00003
;;0;6;"C2_CD31.tif";"NA";32.90439;10.47794;25;21;68;1.99353;1.25277;1.99595;1.29463;4.57151;1.58;0.36;0.90667;1.66667;1.75216;0.80295;97.29261;0.66442;1.72662;36.35862;28;1.4429;0.82765;0;818069;1;1.81333;0.36;108.22508;0.90022;2.18215;0.45826;0.88301
;;0;7;"C2_CD31.tif";"NA";31.33363;16.41779;24;20;255;1.62649;2.74212;1.61683;2.73551;4.53583;1.04667;1.8;1.14667;1.70667;1.57907;1.09251;91.69509;0.82759;1.7124;42.45498;26;8.41047;106.47438;0;955237;1;1.6;1.8;94.68954;1.13983;1.44536;0.69187;0.95397
;;0;8;"C2_CD31.tif";"NA";26.74293;6.46965;23;19;59;4.41066;6.22644;4.40075;6.23559;4.26029;3.61333;5.71333;1.49333;1.06;1.48879;1.04359;176.95368;0.84486;1.50096;32.63351;24;1.91848;3.15975;0;734254;1;3.61333;6.26667;7.91416;1.0588;1.4266;0.70096;0.98354
;;0;9;"C2_CD31.tif";"NA";32.02797;30.64259;24;20;255;3.09534;5.42638;3.1996;5.49053;5.19125;2.32667;4.58667;1.54;1.73333;1.95804;1.20498;126.54063;0.86409;1.95764;59.34996;24;6.48666;43.98505;0;1335374;1;2.54667;4.6;125.85523;1.24176;1.62496;0.6154;0.97897
;;0;1;"Composite_zstack_2.3.tif:1";1587.24405;31.07092;32.85727;0;0;255;62.67462;63.45252;62.71754;63.7752;178.76035;35.18536;38.13039;56.26557;60.14061;50.44294;40.06392;37.51038;0.62418;60.90359;49317.12504;23;2.6401;9.07391;88.92606;2052700;1;62.00063;98.271;80.92124;47.64161;1.25906;0.79424;0.83384
;;0;2;"Composite_zstack_2.3.tif:1";2475.08204;32.05414;37.57408;0;0;255;98.10789;25.07204;97.95795;24.99559;189.48506;68.6657;0.31;58.9006;54.56056;59.62012;52.85753;7.21802;0.86626;66.64437;79336.61546;23;2.91381;10.68801;87.78866;3302185;1;68.8207;39.0604;31.39798;53.89294;1.12794;0.88657;0.97325
;;0;3;"Composite_zstack_2.3.tif:2";1431.84718;21.82247;52.65933;0;0;255;56.66882;123.28524;59.87833;120.41852;151.78442;31.15532;97.496;53.01054;49.1355;47.9974;37.98298;28.46468;0.781;53.15628;31246.44821;3;2.66313;5.61681;70.36931;1300554;2;31.77532;125.39628;9.73699;37.20825;1.26366;0.79135;0.92885
;;0;4;"Composite_zstack_2.3.tif:2";1338.98866;255;0;255;255;255;109.38683;121.53421;109.38683;121.53421;141.63578;83.23585;100.13102;48.6705;39.99041;47.64823;35.77999;167.2087;0.83877;49.06382;341442.1071;255;"NaN";"NaN";100;14211660;2;83.23585;118.73121;172.74028;35.95511;1.3317;0.75092;0.94358
;;0;1;"C1-z-stack-Composite.tif:1";1804.99727;255;0;255;255;255;59.55291;83.22518;59.55291;83.22518;193.66425;39.13498;50.3164;39.89048;71.16825;69.01972;33.29764;93.61981;0.60477;71.9723;460274.3027;255;"NaN";"NaN";100;20159790;1;48.6543;121.48465;81.4276;39.56483;2.07281;0.48244;0.87008
;;0;2;"C1-z-stack-Composite.tif:1";1275.24251;255;0;255;255;255;78.6171;36.3816;78.6171;36.3816;151.23209;59.38242;5.13741;35.20637;56.51152;52.87716;30.70682;77.09756;0.70067;57.77192;325186.8398;255;"NaN";"NaN";100;14243025;1;77.36336;61.64893;77.30865;32.15485;1.722;0.58072;0.93797
;;0;3;"C1-z-stack-Composite.tif:3";935.23872;255;0;255;255;255;103.40058;58.19675;103.40058;58.19675;113.3569;86.88268;37.01958;31.88217;38.37948;39.52013;30.13105;63.13248;0.91461;41.20941;238485.8745;255;"NaN";"NaN";100;10445565;3;93.37999;75.09686;66.4428;30.82355;1.31161;0.76242;0.98897
;;0;4;"C1-z-stack-Composite.tif:2";1212.70757;255;0;255;255;255;112.03766;131.98421;112.03766;131.98421;139.26215;90.96239;110.90763;45.02789;42.91249;51.68254;29.87599;42.22422;0.78578;54.74775;309240.4294;255;"NaN";"NaN";100;13544580;2;91.11349;148.83381;38.38815;32.99761;1.7299;0.57807;0.97245
;;0;5;"C1-z-stack-Composite.tif:2";1015.7419;255;0;255;255;255;134.52416;67.04656;134.52416;67.04656;135.27748;118.16044;42.30809;33.24207;51.52521;43.51013;29.72372;95.89598;0.6975;52.39718;259014.1852;255;"NaN";"NaN";100;11344695;2;135.99028;42.30809;100.46741;33.0605;1.46382;0.68314;0.88909
;;0;6;"C1-z-stack-Composite.tif:2";1363.82797;255;0;255;255;255;85.91315;96.07595;85.91315;96.07595;182.66153;69.35504;56.81372;35.96187;70.41275;62.31984;27.86399;90.22282;0.51366;70.64647;347776.1324;255;"NaN";"NaN";100;15232425;2;87.18488;56.81372;94.66187;30.0911;2.23657;0.44711;0.79653
;;0;7;"C1-z-stack-Composite.tif:2";1698.85453;255;0;255;255;255;117.18261;96.56907;117.18261;96.56907;200.19254;94.4377;66.18194;56.81372;63.31103;48.87407;44.2576;17.59614;0.53268;68.31205;433207.9055;255;"NaN";"NaN";100;18974295;2;94.4377;129.49297;34.18217;46.11436;1.10431;0.90554;0.78471
;;1;1;"FlowA";484.333;243.967;51.884;255;0;255;25.713;26.239;25.801;26.261;97.439;11.773;9.851;29.312;33.157;39.141;15.755;47.828;0.641;40.675;118161.41;255;-4.49;18.158;95.673;2046885;2;15.137;41.806;51.234;16.425;2.484;0.403;0.926
;;1;2;"FlowA";1149.873;144.366;126.383;255;0;255;51.487;46.874;54.223;44.071;195.166;16.819;19.942;73.521;53.819;79.567;18.4;36.446;0.379;86.906;166003.018;255;-0.267;-1.929;56.614;2875635;2;16.819;73.041;32.811;22.261;4.324;0.231;0.828
;;1;3;"FlowA";1216.49;90.841;122.119;0;0;255;37.671;85.005;40.023;81.066;186.127;8.65;52.618;65.352;61.268;79.373;19.514;42.499;0.441;86.033;110506.753;0;0.6;-1.64;35.624;1914285;2;10.812;111.003;42.737;20.564;4.068;0.246;0.928
;;1;4;"FlowA";593.323;103.062;125.142;0;0;255;74.051;153.245;75.393;152.445;164.335;43.007;134.068;70.157;37.001;76.191;9.915;25.863;0.276;77.394;61148.935;0;0.391;-1.847;40.416;1059270;2;43.007;168.666;24.974;12.099;7.684;0.13;0.821
;;1;5;"FlowA";695.731;106.088;125.694;0;0;255;85.364;148.211;87.225;146.937;215.646;45.41;121.334;91.061;47.332;99.564;8.897;25.413;0.188;101.33;73808.56;0;0.341;-1.884;41.603;1278570;2;45.41;167.225;26.018;12.598;11.191;0.089;0.676
;;1;1;"FlowB";666.558;205.115;101.158;255;0;255;75.683;21.57;75.574;21.863;105.589;52.142;10.305;43.28;21.846;42.963;19.754;8.848;0.751;43.877;136720.76;255;-1.535;0.355;80.437;3218865;2;52.142;24.113;9.462;21.061;2.175;0.46;0.977
;;1;2;"FlowB";839.388;166.856;121.277;255;0;255;115.061;128.469;114.301;127.587;112.667;93.361;115.207;43.692;26.586;42.503;25.145;12.904;0.831;45.324;140056.733;255;-0.649;-1.579;65.434;3297405;2;93.567;133.961;16.375;26.586;1.69;0.592;0.973
;;1;3;"FlowB";905.521;197.67;106.456;255;0;255;119.409;164.434;120.841;164.086;155.147;85.323;154.983;69.248;17.312;68.636;16.798;178.353;0.473;69.424;178994.477;255;-1.318;-0.262;77.518;4214130;2;85.323;162.814;175.914;17.227;4.086;0.245;0.964
;;1;4;"FlowB";331.474;159.718;123.37;255;0;255;34.544;176.794;34.567;176.531;99.859;10.717;171.883;46.989;9.48;48.253;8.747;175.919;0.418;47.228;52942.333;255;-0.522;-1.727;62.635;1246440;2;10.717;174.356;174.24;8.644;5.517;0.181;0.967
;;1;5;"FlowB";605.606;146.851;126.027;255;0;255;89.608;90.382;88.262;90.601;141.261;63.889;82.438;62.24;15.045;59.189;13.027;177.548;0.381;62.489;88934.022;255;-0.307;-1.906;57.589;2093805;2;63.889;87.59;174.891;14.756;4.543;0.22;0.905
;;1;2;"FlowC";514.236;45.344;97.507;0;0;255;77.568;31.802;78.092;30.596;117.075;53.579;21.384;50.215;21.864;49.755;13.159;21.729;0.471;53.768;23317.263;0;1.685;0.84;17.782;403920;0;53.579;41.326;20.946;14.82;3.781;0.264;0.926
;;1;3;"FlowC";1617.869;43.037;95.512;0;0;255;92.721;90.475;94.159;90.772;280.062;33.157;76.404;131.665;27.39;133.904;15.384;171.766;0.259;133.927;69627.939;0;1.769;1.128;16.877;1206150;0;33.157;77.365;169.456;17.691;8.704;0.115;0.902
;;1;4;"FlowC";1061.434;238.607;62.543;255;0;255;90.254;102.322;89.438;102.305;268.626;31.475;89.859;126.38;21.624;108.144;12.497;173.851;0.185;127.199;253266.109;255;-3.553;10.625;93.572;4387275;0;31.475;90.58;173.492;15.212;8.654;0.116;0.779
;;1;5;"FlowC";1291.767;58.702;38.875;25;2;255;96.919;47.544;94.896;47.672;213.484;44.93;29.793;92.742;37.722;85.527;19.23;22.269;0.356;98.654;75829.135;51;1.151;1.536;100;1313572;1;44.93;67.274;19.935;24.086;4.447;0.225;0.841
;;1;5;"FlowC";1291.767;58.702;38.875;25;2;255;96.919;47.544;94.896;47.672;213.484;44.93;29.793;92.742;37.722;85.527;19.23;22.269;0.356;98.654;75829.135;51;1.151;1.536;100;1313572;1;44.93;67.274;19.935;24.086;4.447;0.225;0.841
